Date,Close
01/01/1999,1.1729
04/01/1999,1.1825
05/01/1999,1.1776
06/01/1999,1.16
07/01/1999,1.1713
08/01/1999,1.1595
11/01/1999,1.1491
12/01/1999,1.1551
13/01/1999,1.1653
14/01/1999,1.1709
15/01/1999,1.159
18/01/1999,1.1605
19/01/1999,1.161
20/01/1999,1.1553
21/01/1999,1.16
22/01/1999,1.1587
25/01/1999,1.1555
26/01/1999,1.1561
27/01/1999,1.1432
28/01/1999,1.1421
29/01/1999,1.1367
01/02/1999,1.1312
02/02/1999,1.1348
03/02/1999,1.1319
04/02/1999,1.1335
05/02/1999,1.1265
08/02/1999,1.1325
09/02/1999,1.1289
10/02/1999,1.1345
11/02/1999,1.1233
12/02/1999,1.128
15/02/1999,1.123
16/02/1999,1.1201
17/02/1999,1.1237
18/02/1999,1.1203
19/02/1999,1.1063
22/02/1999,1.1036
23/02/1999,1.1005
24/02/1999,1.0986
25/02/1999,1.1044
26/02/1999,1.1016
01/03/1999,1.0886
02/03/1999,1.0918
03/03/1999,1.0889
04/03/1999,1.082
05/03/1999,1.0826
08/03/1999,1.0883
09/03/1999,1.0889
10/03/1999,1.0952
11/03/1999,1.1032
12/03/1999,1.0904
15/03/1999,1.0937
16/03/1999,1.1
17/03/1999,1.1004
18/03/1999,1.0971
19/03/1999,1.0886
22/03/1999,1.0915
23/03/1999,1.091
24/03/1999,1.0892
25/03/1999,1.0906
26/03/1999,1.0767
29/03/1999,1.0739
30/03/1999,1.0717
31/03/1999,1.0757
01/04/1999,1.0789
02/04/1999,1.0782
05/04/1999,1.0711
06/04/1999,1.0842
07/04/1999,1.0774
08/04/1999,1.0744
09/04/1999,1.0802
12/04/1999,1.0823
13/04/1999,1.0769
14/04/1999,1.0797
15/04/1999,1.0703
16/04/1999,1.07
19/04/1999,1.0633
20/04/1999,1.0627
21/04/1999,1.0619
22/04/1999,1.0616
23/04/1999,1.0612
26/04/1999,1.0586
27/04/1999,1.0665
28/04/1999,1.0623
29/04/1999,1.0591
30/04/1999,1.0584
03/05/1999,1.0577
04/05/1999,1.0633
05/05/1999,1.0744
06/05/1999,1.0815
07/05/1999,1.075
10/05/1999,1.08
11/05/1999,1.0715
12/05/1999,1.0649
13/05/1999,1.0666
14/05/1999,1.0652
17/05/1999,1.0669
18/05/1999,1.0686
19/05/1999,1.0659
20/05/1999,1.0631
21/05/1999,1.0579
24/05/1999,1.0592
25/05/1999,1.0593
26/05/1999,1.0468
27/05/1999,1.0441
28/05/1999,1.0401
31/05/1999,1.042
01/06/1999,1.0448
02/06/1999,1.0348
03/06/1999,1.0325
04/06/1999,1.0373
07/06/1999,1.0284
08/06/1999,1.0458
09/06/1999,1.0471
10/06/1999,1.0482
11/06/1999,1.0542
14/06/1999,1.0422
15/06/1999,1.0422
16/06/1999,1.0313
17/06/1999,1.0342
18/06/1999,1.0387
21/06/1999,1.0348
22/06/1999,1.0323
23/06/1999,1.0328
24/06/1999,1.0408
25/06/1999,1.0431
28/06/1999,1.0361
29/06/1999,1.0335
30/06/1999,1.034
01/07/1999,1.0233
02/07/1999,1.0245
05/07/1999,1.0225
06/07/1999,1.0234
07/07/1999,1.0227
08/07/1999,1.021
09/07/1999,1.0174
12/07/1999,1.0156
13/07/1999,1.0173
14/07/1999,1.0212
15/07/1999,1.0207
16/07/1999,1.0196
19/07/1999,1.0301
20/07/1999,1.0413
21/07/1999,1.0523
22/07/1999,1.0523
23/07/1999,1.0514
26/07/1999,1.0661
27/07/1999,1.0621
28/07/1999,1.0662
29/07/1999,1.0726
30/07/1999,1.0707
02/08/1999,1.0689
03/08/1999,1.0686
04/08/1999,1.0775
05/08/1999,1.0758
06/08/1999,1.0759
09/08/1999,1.0706
10/08/1999,1.071
11/08/1999,1.0657
12/08/1999,1.0666
13/08/1999,1.0567
16/08/1999,1.0568
17/08/1999,1.0513
18/08/1999,1.0528
19/08/1999,1.0633
20/08/1999,1.0669
23/08/1999,1.0502
24/08/1999,1.0531
25/08/1999,1.0424
26/08/1999,1.0448
27/08/1999,1.0459
30/08/1999,1.0461
31/08/1999,1.0577
01/09/1999,1.0594
02/09/1999,1.069
03/09/1999,1.0615
06/09/1999,1.058
07/09/1999,1.059
08/09/1999,1.0594
09/09/1999,1.0537
10/09/1999,1.0357
13/09/1999,1.0414
14/09/1999,1.0355
15/09/1999,1.0396
16/09/1999,1.0406
17/09/1999,1.0413
20/09/1999,1.0385
21/09/1999,1.0485
22/09/1999,1.0446
23/09/1999,1.0439
24/09/1999,1.0452
27/09/1999,1.0474
28/09/1999,1.0547
29/09/1999,1.0638
30/09/1999,1.067
01/10/1999,1.0739
04/10/1999,1.0739
05/10/1999,1.0753
06/10/1999,1.0691
07/10/1999,1.0718
08/10/1999,1.0613
11/10/1999,1.064
12/10/1999,1.0759
13/10/1999,1.0789
14/10/1999,1.079
15/10/1999,1.0896
18/10/1999,1.0841
19/10/1999,1.0839
20/10/1999,1.0742
21/10/1999,1.082
22/10/1999,1.0669
25/10/1999,1.0662
26/10/1999,1.0585
27/10/1999,1.05
28/10/1999,1.0522
29/10/1999,1.0542
01/11/1999,1.0507
02/11/1999,1.0519
03/11/1999,1.048
04/11/1999,1.0359
05/11/1999,1.042
08/11/1999,1.0387
09/11/1999,1.0394
10/11/1999,1.0444
11/11/1999,1.042
12/11/1999,1.0319
15/11/1999,1.0317
16/11/1999,1.0325
17/11/1999,1.0407
18/11/1999,1.0293
19/11/1999,1.031
22/11/1999,1.0315
23/11/1999,1.0271
24/11/1999,1.019
25/11/1999,1.019
26/11/1999,1.0164
29/11/1999,1.0103
30/11/1999,1.0086
01/12/1999,1.0087
02/12/1999,1.0026
03/12/1999,1.0024
06/12/1999,1.0224
07/12/1999,1.0247
08/12/1999,1.0274
09/12/1999,1.0213
10/12/1999,1.012
13/12/1999,1.014
14/12/1999,1.0055
15/12/1999,1.007
16/12/1999,1.0167
17/12/1999,1.008
20/12/1999,1.0116
21/12/1999,1.0086
22/12/1999,1.0088
23/12/1999,1.0147
24/12/1999,1.013
27/12/1999,1.0126
28/12/1999,1.0059
29/12/1999,1.0054
30/12/1999,1.0087
31/12/1999,1.0107
03/01/2000,1.0276
04/01/2000,1.0299
05/01/2000,1.0317
06/01/2000,1.0299
07/01/2000,1.0283
10/01/2000,1.0256
11/01/2000,1.0326
12/01/2000,1.0312
13/01/2000,1.0257
14/01/2000,1.0142
17/01/2000,1.0118
18/01/2000,1.0122
19/01/2000,1.0123
20/01/2000,1.0167
21/01/2000,1.0098
24/01/2000,1.0043
25/01/2000,1.0017
26/01/2000,1.0013
27/01/2000,0.9877
28/01/2000,0.9773
31/01/2000,0.9695
01/02/2000,0.9732
02/02/2000,0.9756
03/02/2000,0.9901
04/02/2000,0.9825
07/02/2000,0.9802
08/02/2000,0.9857
09/02/2000,0.9922
10/02/2000,0.9862
11/02/2000,0.987
14/02/2000,0.9813
15/02/2000,0.9813
16/02/2000,0.9865
17/02/2000,0.9886
18/02/2000,0.9847
21/02/2000,0.987
22/02/2000,1.005
23/02/2000,1.0029
24/02/2000,0.9943
25/02/2000,0.9742
28/02/2000,0.9728
29/02/2000,0.9664
01/03/2000,0.9743
02/03/2000,0.9662
03/03/2000,0.9617
06/03/2000,0.9591
07/03/2000,0.957
08/03/2000,0.9613
09/03/2000,0.9678
10/03/2000,0.963
13/03/2000,0.9646
14/03/2000,0.9672
15/03/2000,0.968
16/03/2000,0.9715
17/03/2000,0.9726
20/03/2000,0.9733
21/03/2000,0.9644
22/03/2000,0.9602
23/03/2000,0.972
24/03/2000,0.9751
27/03/2000,0.9655
28/03/2000,0.9614
29/03/2000,0.9507
30/03/2000,0.9611
31/03/2000,0.9557
03/04/2000,0.9581
04/04/2000,0.9637
05/04/2000,0.9628
06/04/2000,0.9602
07/04/2000,0.9547
10/04/2000,0.9615
11/04/2000,0.9589
12/04/2000,0.9562
13/04/2000,0.9541
14/04/2000,0.9596
17/04/2000,0.9535
18/04/2000,0.9474
19/04/2000,0.9397
20/04/2000,0.9375
21/04/2000,0.938
24/04/2000,0.9395
25/04/2000,0.92
26/04/2000,0.9235
27/04/2000,0.9107
28/04/2000,0.9093
01/05/2000,0.9166
02/05/2000,0.9075
03/05/2000,0.895
04/05/2000,0.8902
05/05/2000,0.8985
08/05/2000,0.8917
09/05/2000,0.9067
10/05/2000,0.909
11/05/2000,0.8992
12/05/2000,0.9185
15/05/2000,0.9123
16/05/2000,0.9034
17/05/2000,0.8952
18/05/2000,0.8934
19/05/2000,0.8991
22/05/2000,0.9048
23/05/2000,0.9059
24/05/2000,0.9069
25/05/2000,0.9124
26/05/2000,0.9314
29/05/2000,0.9265
30/05/2000,0.9318
31/05/2000,0.9358
01/06/2000,0.9327
02/06/2000,0.9421
05/06/2000,0.9485
06/06/2000,0.9548
07/06/2000,0.9621
08/06/2000,0.9567
09/06/2000,0.9537
12/06/2000,0.9535
13/06/2000,0.9606
14/06/2000,0.9605
15/06/2000,0.9535
16/06/2000,0.9654
19/06/2000,0.9591
20/06/2000,0.9579
21/06/2000,0.945
22/06/2000,0.9379
23/06/2000,0.9362
26/06/2000,0.9382
27/06/2000,0.9466
28/06/2000,0.9431
29/06/2000,0.9521
30/06/2000,0.9536
03/07/2000,0.9507
04/07/2000,0.952
05/07/2000,0.9535
06/07/2000,0.9506
07/07/2000,0.9468
10/07/2000,0.9545
11/07/2000,0.9519
12/07/2000,0.9419
13/07/2000,0.9363
14/07/2000,0.9377
17/07/2000,0.9356
18/07/2000,0.9264
19/07/2000,0.9232
20/07/2000,0.9328
21/07/2000,0.937
24/07/2000,0.9327
25/07/2000,0.938
26/07/2000,0.9416
27/07/2000,0.9323
28/07/2000,0.9234
31/07/2000,0.9269
01/08/2000,0.9145
02/08/2000,0.912
03/08/2000,0.907
04/08/2000,0.9079
07/08/2000,0.9084
08/08/2000,0.9018
09/08/2000,0.8986
10/08/2000,0.9077
11/08/2000,0.9033
14/08/2000,0.9052
15/08/2000,0.9132
16/08/2000,0.9157
17/08/2000,0.9173
18/08/2000,0.9068
21/08/2000,0.9018
22/08/2000,0.8974
23/08/2000,0.9002
24/08/2000,0.9023
25/08/2000,0.9027
28/08/2000,0.9001
29/08/2000,0.8924
30/08/2000,0.8926
31/08/2000,0.8878
01/09/2000,0.8997
04/09/2000,0.8985
05/09/2000,0.8888
06/09/2000,0.8703
07/09/2000,0.8736
08/09/2000,0.8695
11/09/2000,0.8586
12/09/2000,0.8627
13/09/2000,0.8613
14/09/2000,0.8647
15/09/2000,0.8556
18/09/2000,0.8539
19/09/2000,0.8515
20/09/2000,0.8478
21/09/2000,0.8581
22/09/2000,0.8789
25/09/2000,0.8726
26/09/2000,0.8822
27/09/2000,0.8834
28/09/2000,0.8817
29/09/2000,0.8821
02/10/2000,0.8784
03/10/2000,0.8741
04/10/2000,0.8746
05/10/2000,0.8691
06/10/2000,0.868
09/10/2000,0.868
10/10/2000,0.8714
11/10/2000,0.8688
12/10/2000,0.8626
13/10/2000,0.8537
16/10/2000,0.8496
17/10/2000,0.8554
18/10/2000,0.8382
19/10/2000,0.8435
20/10/2000,0.8419
23/10/2000,0.8355
24/10/2000,0.8371
25/10/2000,0.8276
26/10/2000,0.829
27/10/2000,0.8399
30/10/2000,0.8425
31/10/2000,0.849
01/11/2000,0.8609
02/11/2000,0.8604
03/11/2000,0.8652
06/11/2000,0.8606
07/11/2000,0.8614
08/11/2000,0.855
09/11/2000,0.8658
10/11/2000,0.8614
13/11/2000,0.8605
14/11/2000,0.8569
15/11/2000,0.8578
16/11/2000,0.8521
17/11/2000,0.8475
20/11/2000,0.8493
21/11/2000,0.8433
22/11/2000,0.8446
23/11/2000,0.839
24/11/2000,0.84
27/11/2000,0.8519
28/11/2000,0.8565
29/11/2000,0.8581
30/11/2000,0.872
01/12/2000,0.8783
04/12/2000,0.8874
05/12/2000,0.8806
06/12/2000,0.8909
07/12/2000,0.8888
08/12/2000,0.8831
11/12/2000,0.8774
12/12/2000,0.8803
13/12/2000,0.8758
