Date,Close
01/01/1999,1.6604
04/01/1999,1.656
05/01/1999,1.6547
06/01/1999,1.6544
07/01/1999,1.6506
08/01/1999,1.6445
11/01/1999,1.6299
12/01/1999,1.6305
13/01/1999,1.6478
14/01/1999,1.6568
15/01/1999,1.6519
18/01/1999,1.653
19/01/1999,1.655
20/01/1999,1.6452
21/01/1999,1.6525
22/01/1999,1.6543
25/01/1999,1.6568
26/01/1999,1.6592
27/01/1999,1.6445
28/01/1999,1.65
29/01/1999,1.6467
01/02/1999,1.6418
02/02/1999,1.6395
03/02/1999,1.6363
04/02/1999,1.6451
05/02/1999,1.6322
08/02/1999,1.6395
09/02/1999,1.6356
10/02/1999,1.6296
11/02/1999,1.6218
12/02/1999,1.6312
15/02/1999,1.626
16/02/1999,1.6338
17/02/1999,1.6348
18/02/1999,1.6353
19/02/1999,1.6215
22/02/1999,1.6262
23/02/1999,1.6132
24/02/1999,1.5961
25/02/1999,1.6039
26/02/1999,1.6016
01/03/1999,1.6088
02/03/1999,1.6141
03/03/1999,1.6131
04/03/1999,1.6105
05/03/1999,1.6062
08/03/1999,1.6077
09/03/1999,1.6184
10/03/1999,1.6268
11/03/1999,1.6363
12/03/1999,1.6305
15/03/1999,1.6227
16/03/1999,1.629
17/03/1999,1.6303
18/03/1999,1.6295
19/03/1999,1.6281
22/03/1999,1.6283
23/03/1999,1.638
24/03/1999,1.6356
25/03/1999,1.6237
26/03/1999,1.6233
29/03/1999,1.6165
30/03/1999,1.6123
31/03/1999,1.6116
01/04/1999,1.6034
02/04/1999,1.6035
05/04/1999,1.6001
06/04/1999,1.591
07/04/1999,1.5951
08/04/1999,1.6048
09/04/1999,1.6091
12/04/1999,1.6136
13/04/1999,1.6157
14/04/1999,1.6109
15/04/1999,1.6095
16/04/1999,1.6135
19/04/1999,1.6104
20/04/1999,1.6098
21/04/1999,1.6066
22/04/1999,1.6144
23/04/1999,1.6145
26/04/1999,1.6121
27/04/1999,1.619
28/04/1999,1.6135
29/04/1999,1.6081
30/04/1999,1.6093
03/05/1999,1.6093
04/05/1999,1.6294
05/05/1999,1.6376
06/05/1999,1.6415
07/05/1999,1.6309
10/05/1999,1.6261
11/05/1999,1.6235
12/05/1999,1.6175
13/05/1999,1.6208
14/05/1999,1.6186
17/05/1999,1.6184
18/05/1999,1.6239
19/05/1999,1.6171
20/05/1999,1.607
21/05/1999,1.601
24/05/1999,1.5962
25/05/1999,1.6015
26/05/1999,1.5965
27/05/1999,1.5997
28/05/1999,1.6013
31/05/1999,1.6025
01/06/1999,1.6122
02/06/1999,1.6049
03/06/1999,1.6064
04/06/1999,1.611
